"","Region","majority","percent_nonwhite"
"1",1,"M",0.933072370141326
"2",2,"M",0.683626365736537
"3",3,"M",0.509963805343438
"4",4,"M",0.661259675087601
"5",5,"W",0.402183663937821
"6",6,"W",0.351807271840989
"7",7,"W",0.351572663325288
"8",8,"W",0.320170990675898
"9",9,"W",0.281201964133219
"10",10,"W",0.315033946612894
"11",11,"W",0.303907893235885
"12",12,"W",0.443867369588273
"13",13,"W",0.402861175617122
"14",14,"W",0.339477684123256
"15",15,"W",0.481485275905397
"16",16,"W",0.419079817192822
"17",17,"W",0.498377920499419
"18",18,"M",0.573812297387399
"19",19,"M",0.88038188767852
"20",20,"M",0.647542713593707
"21",21,"M",0.615989356265191
"22",22,"W",0.439323641423759
"23",23,"M",0.529643180706172
"24",24,"W",0.20196053893964
"25",25,"M",0.694193425082344
"26",26,"M",0.771540201279845
"27",27,"M",0.733937929292558
"28",28,"W",0.131165671311657
"29",29,"M",0.522599027161614
"30",30,"M",0.552652985437537
"31",31,"W",0.485045584433256
"32",32,"M",0.505262880960345
"33",33,"W",0.335555679161288
"34",34,"W",0.386197003506535
"35",35,"W",0.452941667844705
"36",36,"M",0.719674417165247
