NEW,DVOTE,RVOTE,IVOTE
1,115469,44060,2333
2,42965,42975,128
3,8595,22211,102
4,385100,488006,10870
5,16221,35740,599
6,7065,31925,1223
7,30025,132214,7288
8,4,87752,12081
9,37,64309,7156
10,147086,249943,34734
11,195840,312992,16516
12,40123,81313,5044
13,137705,209018,17880
14,0,72973,9396
15,7337,68562,6972
16,0,27664,2579
17,0,23850,2273
18,10235,40512,4904
19,50387,449,7229
20,138513,69139,11799
21,431648,428089,30564
22,249787,486531,104654
23,159448,393064,25103
24,307061,257915,37782
25,220455,175991,48925
26,32312,137806,5991
27,125977,34568,6049
28,36064,92850,3439
29,116899,3053,18593
30,39541,48579,268
31,26004,77846,4996
32,22883,67313,4609
33,0,89501,10763
34,0,85300,15238
35,0,51232,6782
36,18424,51994,192
